"-73.789411,40.666459,-73.756364,40.680494",1
"-73.793638,40.710719,-73.752336,40.730202",1
"-73.795658,40.743334,-73.753772,40.779114",1
"-73.796512,40.722355,-73.756699,40.745784",1
"-73.797297,40.738291,-73.775740,40.770411",1
"-73.802033,40.652546,-73.738566,40.668036",8
"-73.805770,40.666526,-73.772204,40.690003",3
"-73.815233,40.715862,-73.790295,40.738951",2
"-73.816380,40.690882,-73.768447,40.715693",1
"-73.819131,40.582343,-73.761289,40.609861",1
"-73.825921,40.702281,-73.790734,40.719217",2
"-73.826577,40.757744,-73.790317,40.779587",1
"-73.832707,40.620010,-73.746541,40.665414",200
"-73.839460,40.746988,-73.815375,40.781725",3
"-73.840130,40.662481,-73.801134,40.691956",4
"-73.840817,40.775618,-73.790584,40.801020",1
"-73.842332,40.804005,-73.790064,40.845347",2
"-73.843148,40.701398,-73.816380,40.715998",2
"-73.849479,40.681155,-73.810634,40.704221",2
"-73.861099,40.714345,-73.817260,40.764083",21
"-73.862040,40.706406,-73.829798,40.739016",16
"-73.864482,40.833000,-73.851686,40.842478",1
"-73.867911,40.734291,-73.847510,40.748860",1
"-73.869236,40.765468,-73.825139,40.798517",136
"-73.873659,40.744942,-73.853128,40.758349",1
"-73.875093,40.711476,-73.856258,40.735947",3
"-73.876389,40.756642,-73.854497,40.771776",67
"-73.878249,40.581702,-73.766710,40.639962",10
"-73.884652,40.822974,-73.856153,40.833622",1
"-73.891752,40.727801,-73.864472,40.749165",8
"-73.891834,40.763673,-73.855049,40.786046",334
"-73.897174,40.822518,-73.872773,40.840171",2
"-73.899862,40.746820,-73.869426,40.771545",12
"-73.901227,40.834354,-73.886599,40.843533",1
"-73.903077,40.800183,-73.868114,40.827664",1
"-73.903571,40.759641,-73.893497,40.767425",1
"-73.904774,40.706462,-73.859631,40.730680",1
"-73.910492,40.829112,-73.890277,40.861538",2
"-73.910690,40.731601,-73.877084,40.748728",10
"-73.916775,40.820484,-73.886014,40.835508",3
"-73.919040,40.727433,-73.894665,40.765790",19
"-73.920588,40.884633,-73.896359,40.915541",1
"-73.922754,40.667106,-73.900048,40.687222",1
"-73.923983,40.765866,-73.887708,40.790954",9
"-73.924042,40.691451,-73.877613,40.717801",3
"-73.924124,40.712865,-73.887079,40.735202",2
