-7399,4075,15
-7399,4075,29
-7399,4075,22
-7399,4075,28
-7399,4075,14
-7399,4075,30
-7398,4075,15
-7399,4075,23
-7399,4075,16
-7398,4075,29
-7399,4075,21
-7398,4075,28
-7399,4075,27
-7398,4075,22
-7399,4074,30
-7399,4074,15
-7398,4075,14
-7399,4074,23
-7399,4074,29
-7399,4075,13
-7399,4074,22
-7399,4074,16
-7398,4075,30
-7398,4075,23
-7398,4076,15
-7399,4075,9
-7398,4075,16
-7398,4075,21
-7398,4075,27
-7399,4074,28
-7398,4076,28
-7398,4076,29
-7398,4076,22
-7398,4076,14
-7399,4075,8
-7399,4074,14
-7399,4075,24
-7398,4075,13
-7399,4074,24
-7399,4075,26
-7400,4073,24
-7399,4074,21
-7399,4074,9
-7399,4075,17
-7400,4073,30
-7398,4075,9
-7398,4076,27
-7398,4076,21
-7398,4076,23
-7399,4074,27
